,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,D044,"Cucumber, green, short (Cucumis sativus)",93.52±0.44,0.83±0.14,0.18±0.05,2.13±0.26,2.82±0.49,73±10,0.02±0.005,0.01±0.000,0.35±0.04,0.32±0.06,0.07±0.008,2.97±0.73,14.67±1.24,,19.25±3.46,0.002±0.001,0.07±0.05,0.59±0.12,0.001±0.000,18.48±5.63,,29.74±7.59,198±56.4,6.11±0.14,0.19±0.05,0.58±0.12,0.19±0.04,0.02±0.01,,0.21±0.04
,D045,"Cucumber, orange, round (Cucumis sativus)",92.8,0.98,0.24,2.46,3.01,82,0.02,0.01,0.36,0.34,0.04,3.13,18.77,,21.98,0.002,0.04,0.45,0.001,20.34,,23.17,185,8.16,0.16,0.53,0.18,0.05,,0.22
,D046,Drumstick (Moringa oleifera),85.39±0.64,2.62±0.22,0.12±0.01,6.83±0.22,3.76±0.70,123±11,0.04±0.002,0.07±0.007,0.62±0.03,0.57±0.07,0.12±0.011,4.29±0.43,62.75±6.71,,33.30±5.54,,0.10±0.02,0.73±0.18,0.007±0.003,38.10±10.53,,52.87±8.72,419±76.4,22.38±0.36,0.31±0.06,1.31±0.46,1.02±0.36,0.20±0.10,0.24±0.07,1.47±0.50
,D047,"Field beans, tender, broad (Vicia faba)",86.98,3.06,0.64,5.64,2.75,129,0.07,0.07,0.32,0.41,0.42,4.11,123,,70.57,0.003,0.24,1.95,0.003,50.88,,73.3,345,14.14,0.64,1.68,0.68,0.21,0.06,0.95
,D048,"Field beans, tender, lean (Vicia faba)",85.57±1.32,3.71±0.62,0.60±0.02,6.19±0.47,2.85±0.32,140±15,0.08±0.006,0.07±0.007,0.33±0.02,0.35±0.03,0.38±0.069,4.11±0.36,127±28.9,,58.59±5.21,0.003±0.002,0.20±0.08,1.48±0.39,0.003±0.001,47.42±6.76,,76.54±12.27,314±39.0,12.76±0.13,0.63±0.20,1.51±0.01,0.59±0.18,0.15±0.04,0.02±0.02,0.76±0.21
,D049,"French beans, country (Phaseolus vulgaris)",89.14±0.52,2.49±0.21,0.26±0.02,4.38±0.41,2.68±0.48,102±8,0.04±0.005,0.06±0.004,0.83±0.03,0.28±0.01,0.37±0.053,4.71±0.25,47.45±8.98,,55.99±10.70,0.004±0.003,0.11±0.03,1.25±0.31,0.002±0.000,43.01±7.64,,59.86±11.58,324±51.1,8.84±0.10,0.50±0.15,0.75±0.05,0.60±0.14,0.12±0.02,0.12±0.05,1.06±0.13
,D050,"French beans, hybrid (Phaseolus vulgaris)",90.11,2.12,0.19,4.18,2.63,93,0.05,0.05,0.77,0.27,0.44,5.93,61.98,,49.9,0.008,0.07,0.98,,34.98,,45.9,317,9.18,0.37,0.77,0.65,0.14,0.1,1
,D051,"Jack fruit, raw (Artocarpus heterophyllus)",85.52±0.86,1.98±0.16,0.35±0.05,7.69±0.20,3.48±0.70,110±15,0.05±0.014,0.05±0.010,0.19±0.02,0.37±0.02,0.04±0.005,4.37±0.14,35.73±5.62,,45.74±7.19,,0.24±0.07,0.31±0.04,,26.60±9.13,,27.78±3.89,327±18.1,3.53±0.52,0.17±0.03,0.02±0.01,1.21±0.02,0.26±0.03,0.55±0.03,2.02±0.05
,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",72.32±0.53,5.79±0.14,0.44±0.03,8.63±0.09,11.81±0.74,322±10,0.06±0.010,0.03±0.008,0.19±0.02,0.36±0.01,0.08±0.005,4.10±0.31,54.58±12.31,,37.56±3.36,0.001±0.001,0.21±0.07,0.37±0.15,0.001±0.001,37.04±15.48,,29.33±10.67,376±70.1,4.00±0.09,0.29±0.12,6.54±0.03,1.45±0.03,0.67±0.02,0.11±0.01,2.23±0.03
,D053,Knol - Khol (Brassica oleracea),93.14±0.27,1.58±0.24,0.35±0.02,2.75±0.07,1.39±0.21,67±4,0.04±0.012,0.06±0.014,0.37±0.02,0.38±0.03,0.19±0.033,2.46±0.11,14.76±1.64,,35.26±3.81,0.002±0.001,0.08±0.03,0.24±0.05,,19.05±3.69,,40.77±4.47,327±63.8,27.46±3.47,0.15±0.03,0.51±0.01,0.05±0.02,0.11±0.01,0.27±0.04,0.43±0.04
,D054,"Kovai, big (Coccinia cordifolia)",92.78±0.61,1.39±0.23,0.24±0.08,3.00±0.26,2.01±0.54,73±10,0.04±0.004,0.02±0.002,0.55±0.03,0.27±0.03,0.08±0.012,2.96±0.33,48.68±5.10,,34.39±5.90,0.002±0.001,0.06±0.01,0.38±0.05,,19.60±3.26,,36.90±4.81,198±34.9,1.53±0.15,0.18±0.03,0.22±0.04,0.74±0.16,0.06±0.03,,0.98±0.29
,D055,"Kovai, small (Coccinia cordifolia)",92.4,1.22,0.24,3.25,2.41,80,0.04,0.02,0.51,0.28,0.05,2.87,50.13,,37.12,0.001,0.06,0.29,,18.87,,26.29,167,2.2,0.13,0.12,0.83,0.1,,1.07
,D056,Ladies finger (Abelmoschus esculentus),89.06±0.30,2.08±0.37,0.22±0.03,4.08±0.20,3.62±0.26,115±5,0.04±0.005,0.07±0.009,0.61±0.01,0.28±0.04,0.27±0.027,1.58±0.33,63.68±10.76,,86.12±6.93,0.002±0.001,0.13±0.01,0.84±0.15,0.001±0.000,66.10±8.99,,57.48±6.93,263±32.5,7.37±0.14,0.45±0.04,0.89±0.04,0.40±0.05,0.07±0.01,0.05±0.01,0.48±0.08
,D057,"Mango, green, raw (Mangifera indica)",85.14±0.59,0.69±0.09,0.08±0.02,3.01±0.19,10.59±0.37,205±8,0.02±0.003,0.02±0.001,0.26±0.02,0.13±0.02,0.13±0.013,1.41±0.16,25.86±7.38,,27.00±4.93,,0.08±0.02,0.40±0.08,,17.54±3.18,,14.92±2.22,147±20.9,33.15±0.10,0.09±0.02,5.80±0.54,1.84±0.23,0.52±0.30,,2.42±0.31
,D058,"Onion, stalk (Allium cepa)",88.35±0.79,2.07±0.21,0.26±0.02,5.21±0.10,2.99±0.50,107±12,0.03±0.020,0.05±0.014,0.14±0.02,0.19±0.05,0.17±0.052,6.99±2.48,57.61±11.87,1.73±0.46,31.12±7.53,0.002±0.001,0.14±0.03,3.09±0.54,0.016±0.008,66.71±8.82,,28.53±3.74,312±63.2,15.52±2.48,0.99±0.21,1.10±0.02,,0.05±0.04,0.06±0.02,0.41±0.05
,D059,"Papaya, raw (Carica papaya)",92.04±0.44,0.50±0.06,0.23±0.03,2.28±0.05,4.40±0.37,100±7,0.02±0.004,0.03±0.007,0.12±0.01,0.24±0.04,0.03±0.008,1.24±0.20,29.79±2.21,0.63±0.34,22.72±1.71,,0.05±0.04,0.20±0.03,0.001±0.000,15.03±1.12,,24.11±6.35,173±29.1,7.55±0.08,0.08±0.01,,2.64±0.17,0.99±0.07,,3.63±0.24
,D060,Parwar (Trichosanthes dioica),91.57±0.27,1.40±0.10,0.30±0.04,2.61±0.07,3.54±0.32,101±5,0.05±0.007,0.05±0.011,0.67±0.04,0.25±0.05,0.20±0.019,9.86±0.74,19.96±1.76,0.68±0.38,30.76±3.08,0.001±0.001,0.09±0.01,0.50±0.11,,24.59±3.64,,33.81±3.72,117±2.5,2.29±0.09,0.23±0.03,0.90±0.09,0.31±0.12,0.06±0.05,,0.37±0.17
,D061,"Peas, fresh (Pisum sativum)",73.37±1.13,7.25±1.03,0.13±0.02,6.32±0.26,11.88±0.67,340±19,0.27±0.027,0.03±0.004,1.28±0.03,0.68±0.13,0.19±0.020,4.04±0.33,54.77±12.01,,28.24±3.62,0.003±0.001,0.22±0.03,1.58±0.15,,40.11±3.29,,55.95±2.74,249±9.0,3.66±0.04,1.09±0.15,6.92±0.49,0.41±0.02,0.20±0.02,0.36±0.02,0.97±0.02
,D062,"Plantain, flower (Musa x paradisiaca)",89.14±0.59,1.47±0.12,0.63±0.02,5.25±0.39,2.15±0.43,89±8,0.02±0.005,0.02±0.005,0.28±0.03,0.35±0.07,0.13±0.009,2.44±0.25,49.27±7.30,,34.06±1.85,,0.10±0.01,0.40±0.05,,39.76±5.37,,47.31±5.74,488±46.3,7.51±0.11,0.42±0.05,1.86±0.11,0.13±0.01,0.04±0.01,,0.17±0.01
,D063,"Plantain, green (Musa x paradisiaca)",76.15±0.42,1.18±0.20,0.23±0.02,3.60±0.27,17.58±0.35,334±6,0.01±0.001,0.05±0.005,0.33±0.04,0.26±0.02,0.10±0.006,0.60±0.05,18.96±1.29,,13.80±2.56,0.002±0.003,0.10±0.03,0.34±0.09,0.001±0.001,35.64±5.34,0.12±0.01,31.69±5.76,402±17.8,18.57±0.13,0.23±0.05,15.43±1.15,0.76±0.59,0.10±0.11,,0.86±0.67
,D064,"Plantain, stem (Musa x paradisiaca)",87.53±1.01,0.35±0.05,0.16±0.07,2.12±0.04,8.64±0.93,165±15,0.02±0.003,0.02±0.004,0.18±0.02,0.24±0.09,0.14±0.01,4.42±0.41,12.85±2.18,0.05±0.03,11.24±2.30,0.001±0.001,0.04±0.02,0.26±0.10,0.002±0.003,32.82±9.01,,16.31±1.61,373±1.7,23.17±2.40,0.14±0.10,4.51±0.34,,0.65±0.45,,0.65±0.45
,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",91.73,0.87,0.18,2.53,4.22,103,0.03,0.02,0.44,0.16,0.05,1.41,31.6,,24.1,,0.04,0.29,,13.27,,24.51,186,5.21,0.14,0.2,1.03,1.01,0.86,2.9
,D066,"Pumpkin, orange, round (Cucurbita maxima)",91.85±0.45,0.84±0.21,0.16±0.02,2.56±0.11,4.00±0.64,97±8,0.03±0.005,0.03±0.003,0.41±0.01,0.18±0.01,0.08±0.015,1.63±0.26,24.14±3.70,,23.06±4.30,,0.06±0.01,0.36±0.11,,10.43±2.35,,22.18±7.47,253±39.2,8.81±0.09,0.11±0.04,0.33±0.08,1.90±0.24,0.33±0.15,0.74±0.33,2.97±0.15
,D067,"Red gram, tender, fresh (Cajanus cajan)",64,8.09,0.92,5.9,19.46,520,0.23,0.09,2.14,0.71,0.3,2.91,94.21,0.11,58.58,0.001,0.45,1.18,0.006,56.95,0.05,141,616,2.54,1.1,14.02,0.22,0.1,0.23,0.55
,D068,Ridge gourd (Luffa acutangula),94.99±0.35,0.91±0.08,0.14±0.01,1.81±0.13,1.72±0.46,55±7,0.02±0.003,0.01±0.002,0.20±0.01,0.28±0.04,0.07±0.005,2.27±0.18,29.26±3.12,,13.70±1.38,0.001±0.000,0.10±0.03,0.42±0.05,,16.15±2.57,,33.06±5.97,118±4.0,4.71±0.20,0.22±0.06,0.81±0.12,0.45±0.11,0.08±0.05,0.03±0.00,0.62±0.18
,D069,"Ridge gourd, smooth skin (Luffa acutangula)",94.27±0.62,0.98±0.13,0.13±0.01,1.85±0.28,2.24±0.41,64±8,0.02±0.004,0.01±0.001,0.21±0.01,0.25±0.02,0.09±0.007,2.22±0.29,27.36±2.98,,14.96±2.15,0.001±0.001,0.09±0.02,0.50±0.18,,17.66±2.71,,39.25±4.18,125±4.1,6.27±0.03,0.26±0.05,0.79±0.05,0.32±0.11,0.06±0.04,0.02±0.02,0.41±0.16
,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",94.81±0.28,0.98±0.33,0.25±0.01,2.27±0.11,1.27±0.15,52±4,0.03±0.003,0.03±0.002,0.34±0.02,0.27±0.03,0.10±0.017,2.50±0.30,18.34±1.87,,24.60±4.77,0.001±0.001,0.09±0.02,0.32±0.08,,18.70±5.79,,23.27±3.04,100±18.6,7.07±1.20,0.14±0.02,0.78±0.55,0.31±0.03,0.05±0.05,0.01±0.01,0.42±0.05
,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",94.92,0.89,0.25,2.27,1.23,50,0.03,0.03,0.33,0.27,0.07,2.43,16.52,,27.11,0.001,0.11,0.47,,21.7,,31.03,104,5.04,0.2,0.74,0.3,0.1,0.01,0.45
,D072,"Snake gourd, short (Trichosanthes anguina)",94.35,0.54,0.26,2.29,2.15,61,0.03,0.02,0.33,0.31,0.06,2.5,17.74,,17.9,,0.05,0.2,,15.07,,21.33,84,2.5,0.11,0.72,0.31,0.12,0.01,0.46
,D073,"Tinda, tender (Praecitrullus fistulosus)",94.41±0.32,1.02±0.04,0.17±0.01,2.00±0.04,1.90±0.37,58±6,0.02±0.000,0.03±0.005,0.56±0.02,0.39±0.03,0.06±0.008,3.26±0.72,43.23±5.74,,19.68±3.27,0.001±0.000,0.08±0.01,0.41±0.03,,18.96±4.68,,30.37±2.47,56.18±3.68,20.61±4.52,0.20±0.01,0.64±0.02,0.25±0.03,0.07±0.03,,0.44±0.06
,D074,"Tomato, green (Lycopersicon esculentum)",93.21±0.46,1.12±0.08,0.27±0.07,1.62±0.08,3.18±0.40,87±7,0.08±0.043,0.05±0.043,0.46±0.16,0.30±0.12,0.07±0.024,4.74±1.99,12.51±4.01,0.18±0.07,8.49±1.56,0.002±0.001,0.06±0.02,0.42±0.08,0.002±0.001,13.57±2.84,,22.50±3.04,225±10.5,13.11±2.73,0.16±0.03,0.48±0.03,0.41±0.02,0.42±0.02,,0.83±0.02
,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",93.79±0.42,0.76±0.03,0.25±0.02,1.58±0.16,3.20±0.30,79±6,0.04±0.004,0.02±0.007,0.51±0.02,0.18±0.01,0.08±0.006,1.09±0.10,15.41±2.70,,8.90±1.04,0.001±0.000,0.04±0.01,0.22±0.02,0.001±0.000,11.86±2.87,,15.45±2.11,167±18.9,11.86±2.83,0.11±0.02,,1.65±0.15,0.18±0.05,,1.82±0.18
,D076,"Tomato, ripe, local (Lycopersicon esculentum)",93.62±0.16,0.90±0.07,0.47±0.06,1.77±0.04,2.71±0.08,82±4,0.03±0.004,0.03±0.004,0.52±0.01,0.20±0.03,0.09±0.005,1.18±0.11,19.46±2.99,,10.17±1.84,,0.06±0.01,0.30±0.09,,13.65±2.13,,18.77±3.79,204±34.1,9.73±2.51,0.12±0.02,,1.16±0.18,0.18±0.07,,1.34±0.19
,D077,"Zucchini, green (Cucurbita pepo)",92.83,1.1,0.51,2.3,2.33,84,0.05,0.09,1.03,0.99,0.25,1.02,18.85,,17.26,,0.07,0.52,,15.41,,21.38,178,0.4,0.29,1.47,0.12,0.02,,0.14
,D078,"Zucchini, yellow (Cucurbita pepo)",93.15,1.31,0.44,1.84,2.2,79,0.03,0.02,0.42,0.72,0.2,1.13,21.5,,20.98,,0.11,0.34,,10.82,,32.03,131,0.39,0.27,1.07,0.19,0.1,,0.29
E FRUITS,E001,"Apple, big (Malus domestica)",83.01±0.94,0.29±0.08,0.64±0.04,2.59±0.15,13.11±0.76,261±15,0.03±0.017,0.01±0.011,0.25±0.07,0.09±0.04,0.04±0.027,0.34±0.08,3.04±0.94,0.96±0.37 ,13.68±3.20 ,0.261±0.093 ,0.04±0.01 ,0.26±0.02 ,0.058±0.029 ,8.09±0.81 ,0.01±0.00 ,10.44±1.18 ,116±12.9 ,1.43±0.42 ,0.09±0.04,,8.36±0.23,1.03±0.02,0.14±0.02,9.53±0.23
,E002,"Apple, green (Malus domestica)",85.54±0.98,0.46±0.07,0.50±0.05,2.54±0.26,10.65±1.00,214±17,0.01±0.023,0.02±0.016,0.21±0.06,0.12±0.04,0.08±0.016,0.41±0.09,3.43±0.68,,6.53±2.48,,0.33±0.04,0.20±0.04,,5.42±0.11,,7.48±0.11,94.55±2.07,1.47±0.65,0.08±0.01,,7.19±0.04,1.08±0.03,0.12±0.02,8.39±0.06
,E003,"Apple, small (Malus domestica)",82.91±0.48,0.31±0.05,0.53±0.05,2.06±0.12,13.95±0.48,267±8,0.01±0.001,0.01±0.000,0.09±0.01,0.09±0.01,0.03±0.004,0.47±0.06,3.52±0.37,0.19±0.21,5.39±0.82,,0.06±0.03,0.25±0.06,0.002±0.001,5.48±0.56,,8.39±1.20,100±9.1,1.45±0.05,0.05±0.02,,8.52±0.08,1.17±0.02,0.11±0.02,9.80±0.09
,E004,"Apple, small, Kashmir (Malus sylvestris)",82.79,0.27,0.6,2.07,13.99,269,0.01,0.01,0.09,0.12,0.04,0.44,3.97,,4.72,,0.06,0.21,0.002,5.19,,10.72,106,1.22,0.08,,7.18,1.6,0.37,9.15
,E005,"Apricot, dried (Prunus armeniaca)",16.68±0.59,3.17±0.29,0.74±0.03,3.32±0.13,72.63±0.27,1321±9,0.04±0.011,0.04±0.006,1.66±0.12,0.62±0.13,0.10±0.005,1.47±0.21,10.50±1.59,0.88±0.44,28.57±4.32,0.002±0.001,0.43±0.04,2.50±0.26,0.008±0.012,14.04±2.21,,72.02±6.39,285±5.9,3.94±0.12,0.41±0.04,44.38±2.30,16.52±0.74,6.98±0.05,2.21±0.02,25.72±0.71
,E006,"Apricot, processed (Prunus armeniaca)",85.75±0.81,1.47±0.15,0.64±0.04,0.59±0.01,10.93±0.88,236±12,0.25±0.011,0.04±0.007,1.07±0.07,0.25±0.02,0.17±0.011,1.55±0.27,5.42±0.98,0.26±0.03,5.42±0.41,0.003±0.000,0.42±0.04,1.12±0.23,0.002±0.000,4.29±0.21,,27.33±1.29,95±2.3,1.60±0.02,0.26±0.03,4.99±0.02,1.33±0.02,0.43±0.02,2.60±0.04,4.36±0.04
,E007,Avocado fruit (Persea americana),73.56,2.95,13.86,6.69,1.75,604,0.07,0.08,0.9,1.26,0.18,1.25,67.17,,28.48,,0.39,0.81,,48.14,,63.14,377,2.81,0.75,0.1,1,0.44,0.21,1.65
,E008,Bael fruit (Aegle marmelos),61.36,2.63,0.57,6.31,28.21,569,0.03,0.04,0.25,1.62,0.03,1.14,55.22,0.65,47.95,0.419,0.15,0.23,0.077,34.1,0.07,37.29,409,1.56,0.14,7.2,9.58,2.65,4.12,16.35
,E009,"Banana, ripe, montham (Musa x paradisiaca)",70.13,1.25,0.32,2.21,24.95,463,0.01,0.04,0.48,0.35,0.51,1.54,17.93,,6.77,,0.12,0.4,0.002,30.22,,20.85,362,1.25,0.15,3.32,6.32,7.68,0.9,14.9
,E010,"Banana, ripe, poovam (Musa x paradisiaca)",71.32,1.49,0.35,2.33,23.41,445,0.01,0.03,0.43,0.4,0.5,1.79,19.95,,8.73,,0.1,0.35,0.001,43.79,,33.63,335,1,0.17,4.72,5.43,6.12,0.99,12.54
,E011,"Banana, ripe, red (Musa x paradisiaca)",70.28,1.29,0.29,1.98,25.21,467,0.01,0.02,0.46,0.41,0.45,1.35,18.92,,9.56,,0.06,0.24,0.001,31.44,,23.27,313,1.11,0.09,3.96,6.03,4.05,4.49,14.57
,E012,"Banana, ripe, robusta (Musa x paradisiaca)",71.93±0.85,1.23±0.08,0.33±0.01,1.94±0.07,23.63±0.74,440±14,0.01±0.000,0.03±0.005,0.47±0.04,0.36±0.03,0.44±0.045,1.69±0.07,16.81±1.95,,5.07±0.94,,0.13±0.05,0.28±0.05,0.001±0.000,34.98±7.77,,24.32±4.46,306±32.7,0.85±0.14,0.14±0.05,5.29±0.04,6.50±0.07,4.05±0.05,3.10±0.05,13.65±0.06
,E013,Black berry (Rubus fruticosus),82.94±0.42,0.92±0.10,0.63±0.02,4.35±0.25,10.64±0.35,227±6,0.01±0.002,0.02±0.005,0.40±0.09,0.21±0.12,0.05±0.011,1.65±0.19,22.95±1.38,,23.81±2.70,,0.05±0.01,0.63±0.21,,30.90±4.17,,20.08±4.50,205±40.5,1.21±0.33,0.11±0.03,,4.47±0.28,2.50±0.04,0.64±0.02,7.61±0.27
,E014,"Cherries, red (Prunus cerasus)",83.61±0.21,1.49±0.22,0.46±0.05,2.12±0.12,11.87±0.31,250±4,0.07±0.006,0.02±0.004,0.19±0.01,0.23±0.03,0.04±0.005,1.52±0.25,4.92±1.30,,23.88±5.01,,0.07±0.02,0.36±0.10,,14.37±4.80,,25.31±8.43,165±44.4,1.64±0.09,0.12±0.04,,5.91±0.05,4.61±0.02,0.20±0.03,10.72±0.05
,E015,"Currants, black (Ribes nigrum)",83.27,1.51,0.53,4.07,9.93,227,0.03,0.03,0.35,0.28,0.09,2.41,8.48,,40.32,,0.08,1.36,,16.66,,78.8,283,1.45,0.21,2.56,2.98,2.85,0.5,6.33
,E016,Custard apple (Annona squamosa),71.55,1.62,0.67,5.1,20.38,414,0.13,0.09,0.69,0.19,0.07,0.76,7.6,,28.2,,0.19,0.42,,38.47,,40.81,278,3.11,0.22,0.34,9.1,4.25,,13.35
,E017,"Dates, dry, pale brown (Phoenix dactylifera)",11.14±0.73,2.45±0.24,0.35±0.03,8.95±0.23,74.91±0.52,1340±12,0.03±0.012,0.03±0.008,1.47±0.07,0.51±0.07,0.14±0.009,0.82±0.11,18.65±1.39,,71.20±4.51,0.001±0.000,0.36±0.05,3.20±0.45,0.013±0.005,73.79±6.51,,73.02±10.73,804±49.5,3.27±0.37,0.70±0.06,0.87±0.08,14.90±0.05,6.15±0.02,45.58±2.94,66.63±2.90
,E018,"Dates, dry, dark brown (Phoenix dactylifera)",13.13,2.38,0.35,9.1,72.67,1301,0.02,0.03,1.09,0.53,0.153,0.94,12.8,,66.13,0.001,0.44,4.79,0.006,75.23,,70.26,782,3.09,0.58,0.99,15.04,6.26,47.54,68.84
,E019,"Dates, processed (Phoenix dactylifera)",22.01,1.18,0.41,6.52,67.95,1197,0.05,0.02,0.51,0.52,0.06,2.5,24.53,,15.73,0.001,0.33,0.89,0.002,14.34,,33.88,289,1.6,0.42,1.78,22.34,5,29.62,56.96
,E020,Fig (Ficus carica),75.60±1.16,2.03±0.22,0.37±0.06,4.64±0.41,16.28±1.13,341±18,0.04±0.020,0.02±0.008,0.27±0.08,0.26±0.08,0.15±0.016,2.64±1.09,13.67±3.81,,78.52±16.48,,0.19±0.02,0.69±0.06,,26.18±2.34,,21.62±1.97,231±7.2,2.37±1.29,0.22±0.01,1.15±0.02,5.89±0.02,1.20±0.01,1.55±0.03,8.64±0.06
,E021,Goosberry (Emblica officinalis),87.02±0.78,0.34±0.03,0.16±0.04,7.75±0.64,4.39±1.09,99±19,0.01±0.009,0.03±0.012,0.12±0.02,0.35±0.04,0.27±0.054,1.42±0.35,7.86±1.27,,20.14±2.51,,0.12±0.08,1.25±0.08,0.004±0.002,6.50±0.93,,21.85±1.87,223±12.6,1.37±0.19,0.05±0.01,0.56±0.03,2.10±0.02,1.29±0.02,,3.39±0.02
,E022,"Grapes, seeded, round, black (Vitis vinifera)",83.88±0.56,0.76±0.13,0.32±0.02,1.35±0.14,13.23±0.60,254±11,0.03±0.009,0.03±0.005,0.14±0.03,0.07±0.00,0.11±0.020,1.14±0.22,8.69±1.60,,10.57±2.03,,0.06±0.01,0.22±0.04,0.001±0.000,7.47±0.92,,21.04±3.63,171±26.5,1.93±0.19,0.05±0.02,,7.10±0.02,2.77±0.03,0.15±0.03,10.02±0.05
,E023,"Grapes, seeded, round, green (Vitis vinifera)",85.07±0.29,0.77±0.12,0.29±0.03,1.25±0.04,12.19±0.20,235±4,0.03±0.005,0.02±0.004,0.13±0.02,0.07±0.01,0.09±0.015,1.08±0.15,8.35±0.75,,11.16±2.02,,0.07±0.01,0.24±0.10,0.001±0.000,6.87±1.10,,19.50±3.45,166±28.0,1.89±0.19,0.05±0.01,,7.11±0.03,2.38±0.02,0.10±0.01,9.59±0.02
,E024,"Grapes, seeded, round, red (Vitis vinifera)",84.46±1.60,0.95±0.11,0.29±0.04,1.28±0.10,12.55±1.38,244±26,0.04±0.027,0.03±0.018,0.10±0.03,0.11±0.03,0.10±0.017,1.09±0.27,7.49±1.15,,11.27±3.54,,0.05±0.01,0.33±0.04,,7.06±0.84,,27.91±4.51,188±10.2,1.59±0.71,0.07±0.01,,7.80±0.02,2.57±0.04,0.10±0.02,10.47±0.07
,E025,"Grapes, seedless, oval, black (Vitis vinifera)",75.30±1.55,1.41±0.26,0.46±0.11,1.64±0.15,20.48±0.97,395±23,0.03±0.021,0.02±0.015,0.15±0.04,0.11±0.04,0.11±0.011,0.97±0.11,7.22±1.23,,15.26±3.03,0.001±0.000,0.16±0.03,0.28±0.02,,11.29±1.79,,29.02±4.16,237±11.1,1.83±0.74,0.10±0.02,,7.08±0.01,2.01±0.02,0.10±0.01,9.19±0.03
,E026,"Grapes, seedless, round, green (Vitis vinifera)",85.55±1.70,0.62±0.13,0.26±0.02,1.28±0.05,11.81±1.52,224±28,0.04±0.023,0.03±0.019,0.12±0.04,0.10±0.04,0.08±0.015,1.20±0.20,8.31±1.46,,14.22±2.14,,0.23±0.33,0.24±0.02,0.001±0.001,8.43±1.73,,20.27±1.20,168±20.4,1.81±1.02,0.05±0.01,,7.35±0.06,2.15±0.01,0.10±0.03,9.60±0.06
,E027,"Grapes, seedless, round, black (Vitis vinifera)",76.90±1.40,1.24±0.25,0.35±0.03,1.15±0.19,19.86±1.58,374±25,0.03±0.019,0.03±0.029,0.13±0.05,0.11±0.03,0.08±0.011,1.27±0.23,8.89±2.54,,18.75±5.41,,0.05±0.01,0.39±0.07,,10.80±1.71,,26.68±3.14,235±9.8,1.92±0.75,0.09±0.02,,7.49±0.03,3.29±0.03,0.10±0.02,10.88±0.05
,E028,"Guava, white flesh (Psidium guajava)",83.79±0.30,1.44±0.09,0.32±0.03,8.59±0.05,5.13±0.33,135±5,0.05±0.006,0.04±0.008,0.60±0.04,0.25±0.02,0.11±0.014,0.74±0.13,29.76±0.66,,18.52±2.10,0.003±0.002,0.16±0.04,0.32±0.07,,15.26±2.22,,23.54±3.12,283±47.1,2.87±0.09,0.23±0.03,0.63±0.02,2.00±0.04,1.90±0.02,0.20±0.03,4.10±0.07
,E029,"Guava, pink flesh (Psidium guajava)",81.22±0.45,1.19±0.19,0.25±0.03,7.39±0.38,9.14±0.27,195±6,0.03±0.010,0.03±0.005,0.59±0.07,0.20±0.03,0.16±0.027,1.25±0.23,32.17±2.69,,14.22±2.92,0.003±0.001,0.17±0.02,0.40±0.14,0.014±0.003,13.26±1.32,,29.93±7.85,270±11.6,1.89±0.06,0.21±0.01,0.70±0.03,4.01±0.32,3.60±0.02,0.18±0.01,7.79±1.29
,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",78.56±0.34,2.74±0.47,0.15±0.02,3.62±0.17,14.01±0.56,302±3,0.05±0.004,0.01±0.004,0.42±0.08,0.16±0.01,0.22±0.010,4.00±0.37,32.15±2.27,,35.03±4.50,,0.19±0.09,0.36±0.16,0.002±0.001,31.84±5.19,,23.02±9.21,279±58.8,1.62±0.08,0.17±0.07,0.50±0.03,4.12±0.03,3.33±0.03,4.76±0.03,12.21±0.02
,E031,"Jambu fruit, ripe (Syzygium cumini)",83.33,0.82,0.17,3.07,12.3,235,0.02,0.02,0.14,0.31,0.03,2.57,7.63,,25.36,,0.02,0.33,0.001,27.97,,9.6,103,2.64,0.06,1.48,4.47,2.21,0.16,6.84
,E032,Karonda fruit (Carissa carandas),86.04,1.15,1.67,7.25,2.87,141,0.01,0.02,0.25,0.67,0.08,1.55,8.72,1.84,10.81,0.62,0.71,0.87,0.021,24.45,0.07,32.62,351,2.55,0.25,0.8,1.19,0.56,,1.75
,E033,"Lemon, juice (Citrus limon)",91.59±0.53,0.41±0.05,0.75±0.02,,,153±9,0.04±0.007,0.01±0.000,0.10±0.01,0.12±0.01,0.03±0.004,1.92±0.14,12.43±1.85,,22.68±2.90,,0.03±0.01,0.12±0.05,0.003±0.002,8.90±0.55,,9.86±0.52,113±19.1,1.21±0.23,0.08±0.02,,1.01±0.03,1.28±0.04,0.30±0.02,2.59±0.06
