,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,B005,"Cowpea, brown (Vigna catjang)",9.42±0.39,20.36±0.59,1.15±0.06,11.54±0.13,54.62±0.49,1340±7,0.33±0.087,0.09±0.009,1.64±0.03,1.47±0.31,0.30±0.033,3.97±0.12,231±27.3,,81.73±7.63,0.013±0.002,0.81±0.16,5.90±1.26,,213±20.3,,372±32.9,1241±116,13.68±0.07,3.41±0.41,45.49±0.66,0.30±0.19,0.61±0.24,0.68±0.20,1.60±0.38
,B006,"Cowpea, white (Vigna catjang)",9.32,21.25,1.14,11.7,53.77,1340,0.34,0.09,1.51,1.66,0.26,4.28,249,,84.1,0.017,0.68,5.04,,213,,378,1243,12.52,3.57,46.33,0.13,0.39,0.67,1.18
,B007,"Field bean, black (Phaseolus vulgaris)",9.57,19.93,0.92,23.4,43.46,1155,0.35,0.07,1.88,0.85,0.35,0.66,291,,78.16,0.021,1.03,4.5,,197,,457,1272,1.35,2.42,40.07,0.2,0.53,0.42,1.15
,B008,"Field bean, brown (Phaseolus vulgaris)",8.74,19.9,0.98,22.4,45.24,1184,0.32,0.07,2.04,0.97,0.37,0.76,292,,75.2,0.018,0.9,4.99,,173,,429,1245,1.41,2.44,42.3,0.2,0.29,0.68,1.17
,B009,"Field bean, white (Phaseolus vulgaris)",8.61±0.36,19.84±1.04,0.94±0.02,22.99±0.83,44.53±1.42,1173±24,0.37±0.082,0.07±0.009,1.96±0.09,0.92±0.19,0.38±0.017,0.68±0.11,289±27.0,,77.24±10.17,0.014±0.005,0.94±0.09,5.50±0.72,,190±15.1,,448±71.4,1360±33.0,1.70±0.04,2.80±0.18,42.25±0.52,0.10±0.01,0.41±0.06,0.56±0.23,1.07±0.28
,B010,"Green gram, dal (Phaseolus aureus)",9.77±0.67,23.88±0.61,1.35±0.20,9.37±0.38,52.59±0.45,1363±10,0.35±0.071,0.12±0.016,1.84±0.23,1.68±0.17,0.19±0.011,0.65±0.06,92.11±5.11,,43.13±5.14,0.006±0.001,0.97±0.11,3.93±0.30,0.002±0.001,155±17.2,2.03±2.80,416±22.4,1268±85.3,10.14±0.33,2.49±0.12,41.06±0.64,0.10±0.01,0.30±0.02,0.55±0.20,0.95±0.41
,B011,"Green gram, whole (Phaseolus aureus)",9.95±0.42,22.53±0.43,1.14±0.17,17.04±0.38,46.13±0.64,1229±10,0.45±0.027,0.27±0.011,2.16±0.13,2.02±0.24,0.35±0.034,1.35±0.16,145±5.4,,92.43±10.68,0.021±0.009,1.00±0.14,4.89±0.46,,198±39.2,2.96±4.83,353±33.6,1177±74.3,12.48±0.07,2.67±0.13,39.21±5.42,0.10±0.02,0.14±0.02,0.30±0.11,0.54±0.11
,B012,"Horse gram, whole (Dolicus biflorus)",9.28±0.57,21.73±0.29,0.62±0.04,7.88±0.02,57.24±0.50,1379±9,0.32±0.002,0.24±0.033,1.82±0.26,1.58±0.06,0.21±0.017,0.59±0.07,163±5.3,,269±34.9,0.054±0.024,1.29±0.09,8.76±1.16,0.007±0.002,152±18.1,6.72±3.83,298±22.5,1065±42.4,12.14±0.17,2.71±0.21,47.96±1.68,0.10±0.03,0.15±0.03,0.10±0.01,0.35±0.05
,B013,Lentil dal (Lens culinaris),9.71±0.48,24.35±1.10,0.75±0.04,10.43±0.39,52.53±1.05,1349±11,0.34±0.034,0.16±0.005,1.81±0.02,1.32±0.03,0.18±0.022,1.25±0.20,49.99±4.91,1.19±0.76,44.32±4.74,0.009±0.003,0.96±0.11,7.06±0.55,,74.69±7.78,0.34±0.39,310±5.3,786±55.3,10.27±0.07,3.61±0.26,44.44±2.17,0.80±0.16,0.30±0.01,0.85±0.02,1.95±0.17
,B014,"Lentil whole, brown (Lens culinaris)",9.20±0.77,22.49±0.58,0.64±0.02,16.82±1.30,48.47±1.12,1251±23,0.40±0.073,0.22±0.026,2.54±0.12,1.84±0.22,0.46±0.022,1.74±0.16,132±6.7,0.46±0.47,76.13±7.23,0.015±0.004,0.98±0.07,7.57±0.67,0.016±0.013,101±13.9,2.08±0.25,274±27.4,756±63.6,11.20±0.08,3.60±0.23,41.41±0.92,0.78±0.22,0.15±0.06,0.71±0.11,1.63±0.33
